# Timestep     No_Moles     No_Specs     H5C7N3O6	H6C6N12O12	
190000        294          6	 192	 90	 4	 4	 2	 2	
# Timestep     No_Moles     No_Specs     H5C7N3O6	H6C6N12O12	H6C6N11O10	NO2	H6C6N10O9	N2O3	
191000        295          6	 192	 89	 5	 5	 2	 2	
# Timestep     No_Moles     No_Specs     H5C7N3O6	H6C6N12O12	H6C6N11O10	NO2	H6C6N10O9	N2O3	
192000        294          6	 192	 90	 4	 4	 2	 2	
# Timestep     No_Moles     No_Specs     H5C7N3O6	H6C6N12O12	H6C6N11O10	NO2	H6C6N10O9	N2O3	
193000        294          6	 192	 90	 4	 4	 2	 2	
# Timestep     No_Moles     No_Specs     H5C7N3O6	H6C6N12O12	H6C6N11O10	NO2	H6C6N10O9	N2O3	
194000        294          6	 192	 90	 4	 4	 2	 2	
# Timestep     No_Moles     No_Specs     H5C7N3O6	H6C6N12O12	H6C6N11O10	NO2	H6C6N10O9	N2O3	
195000        294          6	 192	 90	 4	 4	 2	 2	
# Timestep     No_Moles     No_Specs     H5C7N3O6	H6C6N12O12	H6C6N11O10	NO2	H6C6N10O9	N2O3	
196000        294          6	 192	 90	 4	 4	 2	 2	
# Timestep     No_Moles     No_Specs     H5C7N3O6	H6C6N12O12	H6C6N11O10	NO2	H6C6N10O9	N2O3	
